id,coveredLines
13714,5.41
11397,4.56
5953,6.28
4375,5.58
8747,27.32
11744,2.02
9596,8.77
11316,3.76
1769,5.36
950,16.09
12432,2.62
13934,28.65
9424,2.87
6695,1.0
6610,1.0
256,4.8
1609,19.0
4376,3.83
6287,2.52
2217,4.8
8077,4.41
4541,5.88
952,14.89
4044,11.33
13443,4.14
4319,3.0
7520,17.82
5824,6.93
9310,4.1866666666666665
5344,6.6
12714,6.89
4168,4.3
8771,5.69
10391,5.8
8697,19.90875
13083,5.2
7131,6.15
12777,12.46
7144,5.8
13492,3.0
3907,4.96
6216,11.32
4797,7.11
10799,4.04
6045,17.06
12814,10.73
561,12.45
3841,7.42
12493,12.26
6929,4.15
10498,52.05
5103,3.47
2031,4.87
11499,4.76
5589,6.13
5891,13.17
8403,10.4
8373,8.99
7108,7.39
8222,6.79
8084,11.14
6000,10.57
5270,3.58
5524,3.15
10541,2.58
501,3.43
12369,2.9
8051,8.67
11342,1.51
3633,0.9
8124,7.99
5597,12.3425
3800,2.68
4212,9.29
5308,6.19
1312,2.83
3663,3.64
6060,3.36
10369,1.6
9548,6.48
9444,15.17
11968,5.36
1205,6.71
4359,4.81
13920,14.7
11948,22.12
5005,8.53
5614,10.45
6106,2.73
4129,1.87
9837,6.69
541,2.49
12241,4.48
13381,5.98
6338,6.75
8470,4.4
7317,103.72
596,2.9
7286,100.05
8759,6.2
9408,1.25
9508,3.31
4070,1.07
14093,29.61
685,6.54
5175,9.53
8383,8.52
9629,2.84
7957,4.58
7514,10.07
4112,8.65
7160,7.54
5029,3.53
10000,3.14
14016,44.11
4351,2.29
5723,15.89
857,6.58
11478,2.49
12401,4.732
13090,16.77
13621,5.32
13113,8.46
4606,4.69
1868,11.16
8595,6.88
11343,1.11
13278,43.98
887,4.2
4517,3.0
1472,4.75
966,10.0
707,4.92
3819,11.66
4501,4.77
6644,1.08
13811,6.51
618,3.71
4828,16.11
6241,11.36
13526,6.0
3757,1.5
1683,1.27
10183,7.67
9848,3.88
6825,9.51
10013,8.95
11547,3.3
7826,17.59
3929,27.21
8177,7.19
11430,2.09
5211,9.44
1336,4.07
3620,13.46
10035,4.29
8390,8.69
4291,5.97
13857,4.0
13198,13.42
2193,7.04
8533,0.93
10345,7.8
12152,4.84
6508,10.24
1662,4.95
4202,15.1
2013,4.09
2016,5.0
10318,34.34
10195,14.3
2096,8.31
4217,11.76
9517,11.31
4278,3.0
10790,20.86
1480,7.75
11496,2.49
7915,9.69
8326,9.69
150,31.35
6903,2.07
9442,13.02
13998,7.48
8643,5.45
84,4.74
10472,12.41
8245,2.1
8549,7.91
436,5.63
6247,8.01
11139,3.46
4937,12.8
12574,7.86
13785,5.8
13667,3.49
11498,3.47
4165,5.4
7870,10.65
5560,3.38
6742,2.53
4556,1.31
8624,15.65
4542,3.885
4264,3.23
621,4.68
884,4.03
12821,4.34
10845,14.71
5231,8.1
6835,5.0
5225,2.45
12727,17.37
6540,9.44
102,15.9
4872,4.9375
13313,2.31
9087,5.635714285714285
3886,10.72
4386,4.54
4203,14.54
667,3.96
12770,21.42
4233,1.69
5506,17.32
8409,4.71
3933,12.49
7684,8.34
6777,3.39
8692,6.15875
4536,3.09
5373,5.99
5006,6.12
6361,8.69
4029,4.79
10381,24.88
4340,5.57
9622,4.64
1551,6.34
807,7.84
13900,13.92
3666,2.81
13040,20.2
3903,5.68
8500,19.61
9449,10.22
1469,7.46
6230,1.53
12666,12.93
4461,3.21
8153,5.79
13805,6.18
11824,4.54
13401,5.62
5063,3.02
