Unnamed: 0,id,nameProject,testCase,isFlaky,tloc,tmcCabe,assertionDensity,assertionRoulette,mysteryGuest,eagerTest,sensitiveEquality,resourceOptimism,conditionalTestLogic,fireAndForget,loc,lcom2,lcom5,cbo,wmc,rfc,mpc,halsteadVocabulary,halsteadLength,halsteadVolume,classDataShouldBePrivate,complexClass,functionalDecomposition,godClass,spaghettiCode,numCoveredLines,ExecutionTime,projectSourceLinesCovered,hIndexModificationsPerCoveredLine_window5,hIndexModificationsPerCoveredLine_window10,hIndexModificationsPerCoveredLine_window25,hIndexModificationsPerCoveredLine_window50,hIndexModificationsPerCoveredLine_window75,hIndexModificationsPerCoveredLine_window100,hIndexModificationsPerCoveredLine_window500,hIndexModificationsPerCoveredLine_window10000,num_third_party_libs
3171,8932,undertow,io.undertow.server.handlers.caching.cachehandlertestcase.testbasicpathbasedcaching,False,0.134715,0.25,0.3934092,0.106383,0.0,0.0,0.0,0.0,0.02380952,0.0,0.002236922,0.0,0.01724138,0.140625,0.02229846,0.05537459,0.05447471,0.01975309,0.04878049,0.03264313,0.0,0.0,0.0,0.0461437,0.0,10.0,2.739,350,0,1,1,1,1,1,2,3,1
3172,8919,undertow,io.undertow.server.handlers.datehandlertestcase.testdatehandler,True,0.1243523,0.125,0.2907087,0.1489362,0.0,0.0,0.0,0.0,0.0,0.2,0.0008947688,0.0,0.0,0.078125,0.008576329,0.01140065,0.009727626,0.00664422,0.03538977,0.01978435,0.0,0.0,1.0,0.0461437,0.0,5.0,4.225,302,0,1,1,1,1,1,2,3,1
3173,8946,undertow,io.undertow.server.handlers.error.fileerrorpagehandlertestcase.testfilebasederrorpageisgenerated,False,0.07253886,0.125,0.111811,0.0212766,0.2083333,0.02380952,0.0,0.0,0.0,0.0,0.004921228,0.001551153,0.02586207,0.328125,0.05831904,0.1058632,0.1011673,0.03838384,0.07604017,0.05553174,0.0,0.0,0.0,0.0461437,0.0,6.0,2.776,306,0,1,1,1,1,1,2,4,2
3174,8945,undertow,io.undertow.server.handlers.error.simpleerrorpagehandlertestcase.testsimpleerrorpageisgenerated,False,0.07253886,0.125,0.111811,0.04255319,0.0,0.0,0.0,0.0,0.0,0.0,0.002748218,0.0002820278,0.04310345,0.1875,0.03430532,0.05537459,0.04863813,0.01580247,0.04925873,0.03174066,0.0,0.0,0.0,0.0461437,0.0,5.0,2.533,297,0,1,1,1,1,1,2,3,2
3175,8943,undertow,io.undertow.server.handlers.file.contentencodedresourcetestcase.testfileiscompressed,False,0.1295337,0.375,0.2365234,0.04255319,0.2083333,0.0,0.0,0.2,0.04761905,0.0,0.0003515163,0.0,0.00862069,0.015625,0.008576329,0.004885993,0.0,0.002738496,0.01291248,0.006505101,0.0,0.0,0.0,0.0461437,0.0,12.0,2.939,545,0,1,1,1,1,2,2,3,0
3176,8924,undertow,io.undertow.server.handlers.httpcontinueacceptinghandlertestcase.testhttpcontinueaccepted,False,0.09326425,0.25,0.08827186,0.04255319,0.0,0.0,0.0,0.0,0.02380952,0.0,0.001821494,0.0005640556,0.0,0.125,0.02401372,0.03257329,0.0233463,0.015578,0.04304161,0.02784068,0.0,0.0,0.0,0.0461437,0.0,14.0,0.144,167,0,1,1,1,1,1,2,2,5
3177,8923,undertow,io.undertow.server.handlers.httpcontinueacceptinghandlertestcase.testhttpcontinuerejected,False,0.0880829,0.25,0.03105863,0.0212766,0.0,0.0,0.0,0.0,0.02380952,0.0,0.001821494,0.0005640556,0.0,0.125,0.02401372,0.03257329,0.0233463,0.015578,0.04304161,0.02784068,0.0,0.0,0.0,0.0461437,0.0,7.0,2.763,286,0,1,1,1,1,1,2,3,9
3178,8908,undertow,io.undertow.server.handlers.metricshandlertestcase.testmetrics,False,0.1295337,0.125,0.3655361,0.1489362,0.0,0.04761905,0.0,0.0,0.0,0.0,0.003419295,7.050694e-05,0.01724138,0.109375,0.01543739,0.0228013,0.0155642,0.02482604,0.05260641,0.03641015,0.0,0.0,0.0,0.0461437,0.0,11.0,2.967,310,0,1,1,1,1,1,2,3,1
3179,8927,undertow,io.undertow.server.handlers.proxy.loadbalancingproxytestcase.testloadshared,False,0.0880829,0.25,0.1552931,0.0212766,0.0,0.0,0.3333333,0.0,0.02380952,0.0,0.008244655,0.005570049,0.00862069,0.34375,0.0703259,0.06188925,0.04474708,0.06289562,0.1396461,0.1079211,0.0,0.0,0.0,0.0461437,0.0,11.0,0.114,266,0,1,1,1,1,1,2,4,10
3180,8928,undertow,io.undertow.server.handlers.proxy.loadbalancingproxytestcase.testloadsharedwithservershutdown,True,0.1088083,0.25,0.127058,0.0212766,0.0,0.0,0.3333333,0.0,0.02380952,0.0,0.008244655,0.005570049,0.00862069,0.34375,0.0703259,0.06188925,0.04474708,0.06289562,0.1396461,0.1079211,0.0,0.0,0.0,0.0461437,0.0,12.0,0.41,325,0,1,1,1,1,1,4,4,7
3181,8929,undertow,io.undertow.server.handlers.proxy.loadbalancingproxytestcase.teststickeysessions,False,0.08290155,0.25,0.09865681,0.04255319,0.0,0.0,0.0,0.0,0.02380952,0.0,0.008244655,0.005570049,0.00862069,0.34375,0.0703259,0.06188925,0.04474708,0.06289562,0.1396461,0.1079211,0.0,0.0,0.0,0.0461437,0.0,21.0,2.982,566,0,1,1,1,1,1,3,4,2
3182,8913,undertow,io.undertow.server.handlers.sendertestcase.testasyncsender,False,0.07772021,0.25,0.1048229,0.04255319,0.0,0.0,0.1666667,0.0,0.02380952,0.0,0.003099735,0.003877882,0.0,0.046875,0.02229846,0.01791531,0.0,0.02549944,0.06647537,0.04579738,0.0,0.0,0.0,0.0461437,0.0,16.0,1.297,112,0,1,1,1,1,1,2,3,3
3183,8914,undertow,io.undertow.server.handlers.sendertestcase.testasynctransfer,False,0.1139896,0.25,0.07292026,0.04255319,0.125,0.04761905,0.0,0.2,0.04761905,0.0,0.003099735,0.003877882,0.0,0.046875,0.02229846,0.01791531,0.0,0.02549944,0.06647537,0.04579738,0.0,0.0,0.0,0.0461437,0.0,19.0,7.012,128,0,1,1,1,1,1,2,3,1
3184,8916,undertow,io.undertow.server.handlers.sendertestcase.testblockingsender,False,0.07772021,0.25,0.1048229,0.04255319,0.0,0.0,0.1666667,0.0,0.02380952,0.0,0.003099735,0.003877882,0.0,0.046875,0.02229846,0.01791531,0.0,0.02549944,0.06647537,0.04579738,0.0,0.0,0.0,0.0461437,0.0,14.0,0.099,126,0,1,1,1,1,1,2,3,3
3185,8917,undertow,io.undertow.server.handlers.sendertestcase.testsendersetscontentlength,False,0.07253886,0.125,0.2608925,0.06382979,0.0,0.0,0.0,0.0,0.0,0.0,0.003099735,0.003877882,0.0,0.046875,0.02229846,0.01791531,0.0,0.02549944,0.06647537,0.04579738,0.0,0.0,0.0,0.0461437,0.0,11.0,0.019,113,0,1,1,1,1,1,2,3,3
3186,8915,undertow,io.undertow.server.handlers.sendertestcase.testsynctransfer,False,0.1139896,0.25,0.07292026,0.04255319,0.125,0.04761905,0.0,0.2,0.04761905,0.0,0.003099735,0.003877882,0.0,0.046875,0.02229846,0.01791531,0.0,0.02549944,0.06647537,0.04579738,0.0,0.0,0.0,0.0461437,0.0,24.0,11.987,333,0,1,1,1,1,1,2,3,1
3187,8878,undertow,io.undertow.server.httpserverexchangetestcase.testhttpserverexchange,False,0.07772021,0.125,0.2445867,0.04255319,0.0,0.0,0.0,0.0,0.0,0.0,0.05224811,0.2672213,0.01724138,0.765625,0.4356775,0.4120521,0.3054475,0.3868462,0.6279292,0.5986276,0.0,0.4356775,0.0,0.0461437,0.3701331,9.0,2.58,289,0,1,1,1,1,1,2,3,3
3188,8883,undertow,io.undertow.server.security.digestauthentication2069testcase.testbadpassword,False,0.1606218,0.25,0.1048229,0.1489362,0.0,0.0,0.1666667,0.0,0.04761905,0.0,0.01946122,0.001762674,0.0,0.484375,0.0754717,0.218241,0.233463,0.1176207,0.1860354,0.1555271,0.0,0.0,0.0,0.0461437,0.0,23.0,2.977,416,0,1,1,1,1,1,2,3,2
