Unnamed: 0,id,nameProject,testCase,isFlaky,tloc,tmcCabe,assertionDensity,assertionRoulette,mysteryGuest,eagerTest,sensitiveEquality,resourceOptimism,conditionalTestLogic,fireAndForget,loc,lcom2,lcom5,cbo,wmc,rfc,mpc,halsteadVocabulary,halsteadLength,halsteadVolume,classDataShouldBePrivate,complexClass,functionalDecomposition,godClass,spaghettiCode,numCoveredLines,ExecutionTime,projectSourceLinesCovered,hIndexModificationsPerCoveredLine_window5,hIndexModificationsPerCoveredLine_window10,hIndexModificationsPerCoveredLine_window25,hIndexModificationsPerCoveredLine_window50,hIndexModificationsPerCoveredLine_window75,hIndexModificationsPerCoveredLine_window100,hIndexModificationsPerCoveredLine_window500,hIndexModificationsPerCoveredLine_window10000,num_third_party_libs
5862,13274,hbase,org.apache.hadoop.hbase.client.testadmin.testcreatebadtables,True,0.2849741,0.625,0.02994939,0.04255319,0.0,0.07142857,0.0,0.0,0.0952381,0.2,0.02930368,0.0537968,0.06896552,0.421875,0.3121784,0.2931596,0.2587549,0.2153535,0.3084648,0.276228,0.0,0.0,0.0,0.0461437,0.0744209,58.0,1.125,563,0,1,1,1,1,1,3,3,0
5863,13266,hbase,org.apache.hadoop.hbase.client.testadmin.testcreatetable,True,0.03108808,0.125,0.0,0.0212766,0.0,0.0952381,0.0,0.0,0.0,0.0,0.02930368,0.0537968,0.06896552,0.421875,0.3121784,0.2931596,0.2587549,0.2153535,0.3084648,0.276228,0.0,0.0,0.0,0.0461437,0.0744209,34.0,0.635,631,1,1,1,2,2,2,3,3,0
5864,13267,hbase,org.apache.hadoop.hbase.client.testadmin.testcreatetablewithregions,True,0.5595855,0.25,0.2205447,0.8510638,0.0,0.07142857,0.0,0.0,0.0,0.0,0.02930368,0.0537968,0.06896552,0.421875,0.3121784,0.2931596,0.2587549,0.2153535,0.3084648,0.276228,0.0,0.0,0.0,0.0461437,0.0744209,145.0,7.309,690,0,1,1,1,1,1,3,3,0
5865,13268,hbase,org.apache.hadoop.hbase.client.testadmin.testdisableandenabletable,False,0.1450777,0.375,0.01927777,0.04255319,0.0,0.2142857,0.0,0.0,0.0952381,0.0,0.02930368,0.0537968,0.06896552,0.421875,0.3121784,0.2931596,0.2587549,0.2153535,0.3084648,0.276228,0.0,0.0,0.0,0.0461437,0.0744209,56.0,12.148,832,1,1,1,2,2,2,2,2,0
5866,13272,hbase,org.apache.hadoop.hbase.client.testadmin.testemptyhhtabledescriptor,False,0.03108808,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02930368,0.0537968,0.06896552,0.421875,0.3121784,0.2931596,0.2587549,0.2153535,0.3084648,0.276228,0.0,0.0,0.0,0.0461437,0.0744209,9.0,0.012,72,0,0,1,1,1,1,3,3,0
5867,13273,hbase,org.apache.hadoop.hbase.client.testadmin.testenabledisableaddcolumndeletecolumn,True,0.0984456,0.25,0.0,0.0,0.0,0.3095238,0.0,0.0,0.0,0.0,0.02930368,0.0537968,0.06896552,0.421875,0.3121784,0.2931596,0.2587549,0.2153535,0.3084648,0.276228,0.0,0.0,0.0,0.0461437,0.0744209,57.0,0.987,615,0,1,1,1,2,2,3,3,0
5868,13270,hbase,org.apache.hadoop.hbase.client.testadmin.testforcesplit,True,0.3937824,0.625,0.02178137,0.06382979,0.0,0.1190476,0.0,0.0,0.2380952,0.0,0.02930368,0.0537968,0.06896552,0.421875,0.3121784,0.2931596,0.2587549,0.2153535,0.3084648,0.276228,0.0,0.0,0.0,0.0461437,0.0744209,71.0,28.068,737,1,1,1,2,2,2,3,3,0
5869,13282,hbase,org.apache.hadoop.hbase.client.testadmin.testgettabledescriptor,True,0.06217617,0.125,0.0,0.0212766,0.0,0.0952381,0.0,0.0,0.0,0.0,0.02930368,0.0537968,0.06896552,0.421875,0.3121784,0.2931596,0.2587549,0.2153535,0.3084648,0.276228,0.0,0.0,0.0,0.0461437,0.0744209,40.0,0.693,628,1,1,1,2,2,2,3,3,0
5870,13281,hbase,org.apache.hadoop.hbase.client.testadmin.testhundredsoftable,True,0.0984456,0.25,0.0,0.0,0.0,0.2142857,0.0,0.0,0.04761905,0.0,0.02930368,0.0537968,0.06896552,0.421875,0.3121784,0.2931596,0.2587549,0.2153535,0.3084648,0.276228,0.0,0.0,0.0,0.0461437,0.0744209,50.0,123.857,649,0,1,1,1,1,1,3,3,0
5871,13277,hbase,org.apache.hadoop.hbase.client.testadmin.testreadonlytable,True,0.05699482,0.125,0.0,0.0,0.0,0.07142857,0.0,0.0,0.0,0.0,0.02930368,0.0537968,0.06896552,0.421875,0.3121784,0.2931596,0.2587549,0.2153535,0.3084648,0.276228,0.0,0.0,0.0,0.0461437,0.0744209,40.0,0.56,447,0,1,1,2,2,2,3,3,0
5872,13269,hbase,org.apache.hadoop.hbase.client.testadmin.testtableexist,False,0.04145078,0.125,0.06211724,0.04255319,0.0,0.1190476,0.0,0.0,0.0,0.0,0.02930368,0.0537968,0.06896552,0.421875,0.3121784,0.2931596,0.2587549,0.2153535,0.3084648,0.276228,0.0,0.0,0.0,0.0461437,0.0744209,41.0,0.681,438,0,1,1,1,1,1,3,3,0
5873,13276,hbase,org.apache.hadoop.hbase.client.testadmin.testtablenameclash,True,0.04663212,0.25,0.0,0.0,0.0,0.07142857,0.0,0.0,0.02380952,0.0,0.02930368,0.0537968,0.06896552,0.421875,0.3121784,0.2931596,0.2587549,0.2153535,0.3084648,0.276228,0.0,0.0,0.0,0.0461437,0.0744209,37.0,1.019,415,0,1,1,1,1,1,3,3,0
5874,13278,hbase,org.apache.hadoop.hbase.client.testadmin.testtablenames,False,0.1139896,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.02380952,0.0,0.02930368,0.0537968,0.06896552,0.421875,0.3121784,0.2931596,0.2587549,0.2153535,0.3084648,0.276228,0.0,0.0,0.0,0.0461437,0.0744209,8.0,0.003,34,0,0,0,0,1,1,1,1,0
5875,13279,hbase,org.apache.hadoop.hbase.client.testadmin.testtablenotfoundexceptionwithatable,True,0.04145078,0.125,0.0,0.0,0.0,0.07142857,0.0,0.0,0.0,0.0,0.02930368,0.0537968,0.06896552,0.421875,0.3121784,0.2931596,0.2587549,0.2153535,0.3084648,0.276228,0.0,0.0,0.0,0.0461437,0.0744209,36.0,0.558,423,0,1,1,1,1,1,3,3,0
5876,13280,hbase,org.apache.hadoop.hbase.client.testadmin.testtablenotfoundexceptionwithoutanytables,False,0.03108808,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02930368,0.0537968,0.06896552,0.421875,0.3121784,0.2931596,0.2587549,0.2153535,0.3084648,0.276228,0.0,0.0,0.0,0.0461437,0.0744209,18.0,0.008,186,0,0,1,1,1,1,3,3,0
5877,12754,hbase,org.apache.hadoop.hbase.client.testhtablepool.testclosetablepool,False,0.1088083,0.375,0.07623479,0.04255319,0.0,0.1428571,0.0,0.0,0.07142857,0.0,0.004761448,0.001339632,0.01724138,0.125,0.04459691,0.0504886,0.04085603,0.02945006,0.09182209,0.06408995,0.0,0.0,0.0,0.0461437,0.0,43.0,5.372,612,1,1,1,2,2,2,3,3,0
5878,12753,hbase,org.apache.hadoop.hbase.client.testhtablepool.testtableswithdifferentnames,False,0.06735751,0.125,0.1996626,0.06382979,0.0,0.07142857,0.0,0.0,0.02380952,0.0,0.004761448,0.001339632,0.01724138,0.125,0.04459691,0.0504886,0.04085603,0.02945006,0.09182209,0.06408995,0.0,0.0,0.0,0.0461437,0.0,12.0,0.001,25,0,0,0,0,1,1,1,1,0
