id,predizione,effettivo
13714,1.8837497,12.0
11397,1.6308361,6.0
5953,1.4327455,5.0
4375,1.6057436,6.0
11744,1.3365293,2.0
9596,2.4214602,13.0
11316,1.8945229,3.0
1769,1.4341295,3.0
950,2.4152923,12.0
12432,1.378555,1.0
13934,1.8272347,19.0
9424,1.6696155,5.0
6695,1.6127377,1.0
6610,1.5459608,1.0
256,1.7043867,4.0
1609,3.0697505,22.0
4376,1.4726964,3.0
6287,1.4569703,3.0
2217,1.3676949,4.0
8077,1.658138,4.0
4541,1.679075,5.0
4541,1.679075,5.0
952,2.3779206,14.0
4044,1.6169655,10.0
13443,1.8180009,6.0
4319,1.5343301,3.0
4319,1.5343301,3.0
7520,2.5509915,8.0
5824,1.5557971,5.0
9310,1.5979086,6.0
5344,1.7693474,7.0
12714,2.6350918,6.0
4168,1.4101872,4.0
8771,1.8070524,5.0
10391,2.0626578,7.0
8697,2.6600657,19.0
13083,1.8353293,1.0
7131,1.6126838,6.0
12777,1.7255743,8.0
7144,2.1060162,10.0
13492,2.1350994,3.0
3907,1.6528957,4.0
6216,1.4482105,11.0
4797,1.4591739,5.0
10799,1.8595681,2.0
6045,1.915472,12.0
12814,1.8810375,14.0
561,1.9513934,5.0
3841,1.8321347,8.0
12493,2.005076,14.0
6929,2.4947314,10.0
5103,1.435051,2.0
2031,1.705199,1.0
11499,1.3066168,2.0
5589,1.4725314,6.0
5891,2.6696367,14.0
8403,2.1659536,7.0
8373,1.9742436,10.0
7108,1.3090237,0.0
8222,1.764038,8.0
8084,1.9252343,7.0
6000,1.6341166,10.0
5270,1.5384178,2.0
5524,1.8159448,8.0
10541,2.8018708,1.0
501,1.3578213,2.0
12369,1.7125419,6.0
8051,1.7660761,9.0
11342,1.2318498,1.0
3633,1.3240254,1.0
8124,2.4819298,8.0
5597,1.946692,8.0
3800,1.3521109,2.0
4212,2.0805216,13.0
5308,1.7281867,4.0
1312,1.6717436,3.0
3663,1.6757014,3.0
6060,1.81408,3.0
10369,2.5304909,3.0
9548,1.8187516,8.0
9444,1.5647318,10.0
11968,1.8623905,3.0
1205,2.542882,9.0
4359,1.4644476,0.0
13920,1.7960901,17.0
11948,2.670332,15.0
5005,1.8384151,4.0
5005,1.8384151,4.0
5614,2.1517735,13.0
6106,1.6034096,7.0
4129,1.528129,1.0
9837,1.6028138,3.0
541,2.1592593,11.0
12241,1.5150713,3.0
13381,1.889975,7.0
6338,1.654516,8.0
8470,1.9975045,4.0
596,1.7748055,4.0
8759,2.044799,7.0
9408,1.5209394,4.0
9508,2.0864174,3.0
4070,1.5453229,1.0
685,2.2618606,9.0
5175,1.932318,10.0
8383,1.7792361,8.0
9629,1.6482129,4.0
7957,1.6659387,4.0
7514,2.5192227,19.0
4112,1.5817816,9.0
7160,2.0022454,4.0
5029,1.6284454,4.0
10000,1.5981467,3.0
4351,1.5381829,1.0
5723,1.6041502,14.0
857,1.6508138,6.0
11478,2.237379,5.0
12401,1.8493048,3.0
13621,2.5020957,21.0
13113,2.2571564,13.0
4606,1.5769082,1.0
1868,1.6030499,8.0
8595,1.9310529,2.0
11343,1.2141176,1.0
13278,1.681844,8.0
887,1.4955947,4.0
4517,1.4711783,3.0
4517,1.4711783,3.0
1472,2.459404,17.0
966,2.4223635,10.0
707,2.753376,12.0
3819,1.5913539,15.0
4501,1.6131854,6.0
4501,1.6131854,6.0
6644,1.4635355,1.0
13811,1.9685719,9.0
618,1.9135604,4.0
4828,1.7207832,10.0
6241,1.7202959,4.0
13526,1.7123407,6.0
3757,1.5842977,1.0
1683,1.326825,1.0
10183,1.5908135,9.0
9848,1.5649817,3.0
6825,1.6994653,8.0
10013,1.5883757,8.0
11547,1.3944229,4.0
7826,2.047395,8.0
3929,1.8265021,25.0
8177,2.3418393,8.0
11430,1.2492814,1.0
5211,1.9387753,8.0
1336,1.6080658,4.0
3620,1.708719,7.0
10035,1.9267225,9.0
8390,1.9809711,11.0
4291,1.6844821,6.0
4291,1.6844821,6.0
13857,2.1668594,15.0
13198,2.4646685,13.0
13198,2.4646685,13.0
2193,2.3035882,6.0
8533,1.4486752,1.0
10345,1.9301909,1.0
12152,1.504372,1.0
6508,1.6464219,10.0
1662,1.3759358,4.0
4202,2.1679897,16.0
2013,1.8589302,3.0
2016,1.9403147,5.0
10195,1.9134624,15.0
2096,1.3887289,0.0
4217,2.130666,14.0
9517,2.0561044,5.0
4278,1.4732339,3.0
4278,1.4732339,3.0
10790,1.997453,11.0
1480,2.1847377,21.0
11496,2.5353348,3.0
7915,2.3046458,9.0
6903,1.3691211,1.0
9442,1.64763,11.0
13998,1.7206614,8.0
8643,2.2050653,9.0
84,1.713619,4.0
10472,2.0652092,9.0
8245,1.5589503,2.0
8549,2.2540402,5.0
436,1.7403202,2.0
6247,1.7816441,6.0
11139,1.6889257,2.0
4937,2.1383724,19.0
12574,1.1051024,1.0
13785,1.6600701,3.0
13667,1.7447234,5.0
11498,2.025662,3.0
4165,1.710917,16.0
7870,2.0849223,14.0
5560,1.8862114,2.0
6742,1.8721342,1.0
4556,1.6317308,18.0
8624,2.9684176,14.0
4542,1.5172553,3.0
4542,1.5172553,3.0
4264,1.4532319,3.0
4264,1.4532319,3.0
621,1.7683597,5.0
884,1.6243169,3.0
12821,1.4610052,1.0
10845,1.800387,16.0
5231,2.0855603,10.0
6835,1.6295613,5.0
6835,1.6295613,5.0
6835,1.6295613,5.0
5225,1.610971,4.0
12727,1.5670285,0.0
6540,1.9362335,10.0
102,2.9469976,17.0
4872,1.5801431,4.0
13313,1.6245427,9.0
9087,2.3312807,13.0
3886,1.4987816,2.0
4386,1.470715,5.0
4386,1.470715,5.0
4203,2.2679596,18.0
667,1.6185322,4.0
12770,1.8819308,19.0
4233,1.3770409,2.0
5506,1.4278268,9.0
8409,1.6104444,4.0
3933,1.5862329,3.0
7684,2.5863152,8.0
7684,2.5863152,8.0
7684,2.5863152,8.0
7684,2.5863152,8.0
6777,1.9712851,3.0
8692,1.8862177,4.0
4536,1.45429,3.0
4536,1.45429,3.0
5373,1.6162322,3.0
5006,1.314578,4.0
5006,1.314578,4.0
6361,1.4461865,9.0
4029,1.5352362,4.0
10381,1.8689528,24.0
4340,2.661425,21.0
9622,1.3837512,8.0
1551,1.4379742,6.0
807,1.5377954,6.0
13900,2.0667453,7.0
3666,1.5738659,1.0
13040,1.7553132,7.0
3903,1.7211976,3.0
9449,1.5690718,3.0
1469,1.8154297,2.0
6230,1.4461337,3.0
12666,1.5291082,6.0
4461,1.5340064,3.0
4461,1.5340064,3.0
8153,1.9027311,5.0
13805,2.099267,4.0
11824,1.788085,4.0
13401,1.7097144,2.0
5063,2.264875,14.0
10284,1.5300057,2.0
2149,1.634299,5.0
5832,1.4373184,2.0
2360,2.7744129,13.0
11285,1.2160126,1.0
6696,1.6127014,1.0
5508,1.4278216,8.0
1862,2.0823662,13.0
5932,2.3513288,19.0
5422,1.8939826,20.0
9680,1.6558243,3.0
13124,2.4064956,14.0
511,1.4059646,1.0
8246,1.5333543,2.0
2332,1.7651918,3.0
3943,1.9736307,18.0
13928,1.879889,15.0
9069,1.7930802,4.0
10405,2.3510163,23.0
9811,1.5213304,6.0
432,1.5506347,1.0
10559,2.2218223,16.0
4698,1.4206116,7.0
12447,1.7271283,4.0
9761,1.4990184,4.0
6995,2.1718092,11.0
7137,1.6294756,3.0
1767,1.3876764,7.0
483,1.4755075,2.0
13764,1.3501474,3.0
12984,1.419361,1.0
13781,2.074819,5.0
9346,2.1431656,5.0
10077,1.7976577,15.0
1319,1.7033397,4.0
8032,1.6777058,5.0
11903,1.8881207,2.0
9370,1.6632438,9.0
9470,1.9412379,6.0
8312,2.0193405,18.0
4699,1.6111594,3.0
11774,2.0357766,2.0
10544,2.3642838,18.0
1492,2.4644508,9.0
7635,3.021615,14.0
4616,1.5028199,14.0
12587,2.449804,5.0
6251,1.4464078,0.0
4816,1.6893333,6.0
5419,2.3250794,24.0
5092,1.579256,3.0
10829,2.346406,4.0
7005,1.7858157,1.0
438,2.4528294,12.0
8773,1.67853,3.0
8152,1.9446189,8.0
633,2.4515915,9.0
633,2.4515915,9.0
1752,1.455406,3.0
4348,1.4258469,7.0
3994,2.810061,22.0
9348,2.3810525,17.0
12850,1.7459465,0.0
2236,2.2022343,9.0
10752,1.684082,7.0
4277,1.4536501,3.0
4277,1.4536501,3.0
9318,1.8622668,4.0
1308,1.3680351,1.0
13661,1.9340857,7.0
6180,1.7779104,2.0
6004,1.7150679,10.0
5318,1.5697963,8.0
1897,1.5769482,9.0
5311,2.0996256,8.0
10423,2.001226,25.0
6336,1.6545947,10.0
9640,2.129824,7.0
5173,1.8507948,16.0
1721,2.197155,10.0
1762,1.640358,6.0
13799,1.660316,3.0
8701,2.6564074,22.0
3989,1.5168892,3.0
527,1.8137126,3.0
5844,2.5313272,11.0
4169,1.6106739,3.0
7927,1.3026819,4.0
1045,1.9495686,6.0
3984,1.7657838,6.0
1366,1.7903118,5.0
284,1.5821942,4.0
8035,1.8283026,5.0
8120,2.6195798,12.0
10439,2.2392914,14.0
1066,2.331339,14.0
3838,1.8449316,8.0
4557,1.4834081,2.0
12874,1.710037,0.0
8543,1.6175817,2.0
1914,2.5411477,13.0
8858,2.2296987,20.0
13731,2.0576148,11.0
10683,2.2395291,0.0
11731,1.7757361,4.0
8789,1.8306305,6.0
4293,1.6670752,6.0
4293,1.6670752,6.0
5739,1.382847,0.0
4902,1.9097819,7.0
8427,1.762548,4.0
739,1.7479857,14.0
6129,1.4694436,2.0
1790,1.9347315,5.0
2166,2.44526,15.0
5737,1.8381776,9.0
11838,1.7949226,8.0
7169,3.5601826,16.0
11211,1.2555403,1.0
8571,2.0675044,8.0
4076,1.548252,1.0
1626,2.2735345,14.0
926,1.1892972,2.0
11653,1.5675617,1.0
4276,1.5168937,3.0
4276,1.5168937,3.0
1641,1.6670063,2.0
8717,2.5590935,17.0
8752,1.7185886,8.0
10638,2.6366935,12.0
1534,1.6647818,8.0
12791,1.9710331,13.0
9788,1.9792895,12.0
5309,1.8401365,5.0
6646,1.5748734,1.0
13327,1.5234839,6.0
5135,1.5432501,6.0
2252,2.2622018,10.0
5493,1.7110903,5.0
4335,1.5965326,6.0
4335,1.5965326,6.0
1899,1.3645535,5.0
12471,1.5494039,1.0
3718,1.9274193,11.0
1916,2.5995178,14.0
13682,1.9072552,10.0
9676,1.7322171,5.0
1536,2.077383,13.0
3940,1.5318106,11.0
11318,1.91349,5.0
1816,2.6614065,16.0
10372,2.3581219,1.0
12136,1.9512634,1.0
11288,1.5098644,4.0
3739,1.6133567,5.0
13463,2.1280894,5.0
8268,1.8012799,2.0
10075,1.7513578,9.0
4268,1.6312395,8.0
4268,1.6312395,8.0
7832,1.8180735,7.0
4319,1.5343301,3.0
4319,1.5343301,3.0
9533,1.7751276,6.0
3866,1.802311,14.0
5323,2.233213,9.0
9803,1.6328831,2.0
13681,1.6885633,0.0
4462,1.5165868,3.0
4462,1.5165868,3.0
7693,2.5654414,10.0
7693,2.5654414,10.0
7693,2.5654414,10.0
7693,2.5654414,10.0
4465,1.4711697,3.0
4465,1.4711697,3.0
7661,2.5654254,10.0
7661,2.5654254,10.0
7661,2.5654254,10.0
7661,2.5654254,10.0
8433,1.7241321,1.0
9425,1.7826471,4.0
10188,1.7662646,16.0
5468,1.5225356,1.0
12325,1.9859889,4.0
5774,1.4763378,2.0
5477,1.655561,3.0
6173,1.7773436,2.0
11186,1.694361,7.0
9263,1.6921623,6.0
758,2.700058,8.0
6484,1.6197714,10.0
4256,1.453499,4.0
4256,1.453499,4.0
10147,2.6806536,10.0
9825,1.5520917,0.0
9832,1.7210726,6.0
12716,2.0632777,6.0
9224,2.263698,13.0
12868,1.4280847,2.0
4039,1.4981287,1.0
5682,1.5382512,1.0
5079,1.4266753,0.0
9879,1.8935143,17.0
12192,1.3068349,3.0
5453,1.5950298,2.0
7218,1.7246777,7.0
3677,1.8883545,1.0
10012,1.6243081,8.0
13394,2.272573,15.0
6545,1.516162,10.0
10796,2.1164684,4.0
12303,2.9851058,18.0
34,3.5384045,17.0
6473,1.7809792,10.0
7900,2.4828591,8.0
12699,2.6029947,0.0
9158,1.9685485,6.0
14024,1.7983434,8.0
1476,1.3860728,3.0
7923,2.0560145,6.0
9362,1.614347,3.0
8142,1.8831658,4.0
7164,2.0629401,4.0
11862,1.5474147,0.0
4332,1.5171509,3.0
