Unnamed: 0,id,nameProject,testCase,isFlaky,tloc,tmcCabe,assertionDensity,assertionRoulette,mysteryGuest,eagerTest,sensitiveEquality,resourceOptimism,conditionalTestLogic,fireAndForget,loc,lcom2,lcom5,cbo,wmc,rfc,mpc,halsteadVocabulary,halsteadLength,halsteadVolume,classDataShouldBePrivate,complexClass,functionalDecomposition,godClass,spaghettiCode,numCoveredLines,ExecutionTime,projectSourceLinesCovered,hIndexModificationsPerCoveredLine_window5,hIndexModificationsPerCoveredLine_window10,hIndexModificationsPerCoveredLine_window25,hIndexModificationsPerCoveredLine_window50,hIndexModificationsPerCoveredLine_window75,hIndexModificationsPerCoveredLine_window100,hIndexModificationsPerCoveredLine_window500,hIndexModificationsPerCoveredLine_window10000,num_third_party_libs
680,9103,http-request,com.github.kevinsawicki.http.httprequesttest.acceptcharsetheader,False,0.07772021,0.25,0.03494095,0.04255319,0.0,0.1428571,0.0,0.0,0.02380952,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,7.0,0.009,17,0,0,0,1,0,0,3,3,2
681,9105,http-request,com.github.kevinsawicki.http.httprequesttest.acceptencodingheader,False,0.07772021,0.25,0.03494095,0.0,0.0,0.1428571,0.0,0.0,0.02380952,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,7.0,0.03,17,0,0,0,1,0,0,2,2,2
682,9097,http-request,com.github.kevinsawicki.http.httprequesttest.acceptheader,False,0.07772021,0.25,0.03494095,0.0,0.0,0.1428571,0.0,0.0,0.02380952,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,7.0,0.004,17,0,0,0,1,0,0,2,2,2
683,9099,http-request,com.github.kevinsawicki.http.httprequesttest.acceptjson,False,0.07772021,0.25,0.03494095,0.0212766,0.0,0.1428571,0.0,0.0,0.02380952,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,7.0,0.01,17,0,0,0,1,0,0,2,2,2
684,9243,http-request,com.github.kevinsawicki.http.httprequesttest.appendarrayqueryparams,False,0.05181347,0.125,0.2032928,0.0,0.0,0.04761905,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,7.0,0.008,22,0,1,2,2,2,2,2,2,0
685,9234,http-request,com.github.kevinsawicki.http.httprequesttest.appendemptymappedqueryparams,False,0.03108808,0.125,0.0,0.0,0.0,0.04761905,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,3.0,0.0,8,0,0,0,0,0,0,2,2,0
686,9235,http-request,com.github.kevinsawicki.http.httprequesttest.appendemptyvarargsqueryparams,False,0.03108808,0.125,0.0,0.0,0.0,0.04761905,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,2.0,0.0,6,0,0,0,0,0,0,1,1,0
687,9244,http-request,com.github.kevinsawicki.http.httprequesttest.appendlistqueryparams,False,0.05181347,0.125,0.2032928,0.0,0.0,0.04761905,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,7.0,0.0,23,0,1,2,2,2,2,3,3,0
688,9241,http-request,com.github.kevinsawicki.http.httprequesttest.appendmappedqueryparamswithexistingparams,False,0.03108808,0.0,0.07986501,0.0,0.0,0.04761905,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,7.0,0.002,16,0,0,0,0,0,0,1,1,0
689,9239,http-request,com.github.kevinsawicki.http.httprequesttest.appendmappedqueryparamswithexistingquerystart,False,0.02590674,0.0,0.0,0.0,0.0,0.04761905,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,6.0,0.003,13,0,0,0,0,0,0,1,1,0
690,9226,http-request,com.github.kevinsawicki.http.httprequesttest.appendmappedqueryparamswithnopath,False,0.03108808,0.125,0.0,0.0,0.0,0.04761905,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,6.0,0.0,13,0,0,0,0,0,0,2,2,0
691,9228,http-request,com.github.kevinsawicki.http.httprequesttest.appendmappedqueryparamswithpath,False,0.03626943,0.125,0.06988191,0.0,0.0,0.04761905,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,7.0,0.0,16,0,0,0,0,0,0,1,1,0
692,9230,http-request,com.github.kevinsawicki.http.httprequesttest.appendmultiplemappedqueryparams,False,0.04663212,0.125,0.0,0.0,0.0,0.1428571,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,10.0,0.0,19,0,0,2,2,2,2,1,1,0
693,9231,http-request,com.github.kevinsawicki.http.httprequesttest.appendmultiplevarargsqueryparams,False,0.03108808,0.125,0.0,0.0,0.0,0.04761905,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,3.0,0.0,10,0,0,0,0,0,0,2,2,0
694,9232,http-request,com.github.kevinsawicki.http.httprequesttest.appendnullmappedqueryparams,False,0.03108808,0.125,0.0,0.0,0.0,0.04761905,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,3.0,0.0,6,0,0,0,0,0,0,2,2,0
695,9233,http-request,com.github.kevinsawicki.http.httprequesttest.appendnullvaragsqueryparams,False,0.03108808,0.125,0.0,0.0,0.0,0.04761905,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,2.0,0.0,7,0,0,0,0,0,0,1,1,0
696,9238,http-request,com.github.kevinsawicki.http.httprequesttest.appendoddnumberofparams,False,0.02590674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,0.0,0.004,4,0,0,0,0,0,0,2,2,0
697,9240,http-request,com.github.kevinsawicki.http.httprequesttest.appendvarargsqueryparamswithexistingquerystart,False,0.02590674,0.0,0.0,0.0,0.0,0.04761905,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,3.0,0.0,9,0,0,0,0,0,0,1,1,0
698,9229,http-request,com.github.kevinsawicki.http.httprequesttest.appendvarargsqueryparamswithpath,False,0.03626943,0.125,0.06988191,0.0,0.0,0.04761905,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,4.0,0.0,11,0,0,0,0,0,0,1,1,0
699,9227,http-request,com.github.kevinsawicki.http.httprequesttest.appendvarargsqueryparmaswithnopath,False,0.03108808,0.125,0.0,0.0,0.0,0.04761905,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,3.0,0.0,8,0,0,0,0,0,0,1,1,0
700,9236,http-request,com.github.kevinsawicki.http.httprequesttest.appendwithnullmappedqueryparamvalues,False,0.04663212,0.125,0.0,0.0,0.0,0.1428571,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,10.0,0.002,18,0,0,2,2,2,2,1,1,0
701,9237,http-request,com.github.kevinsawicki.http.httprequesttest.appendwithnullvaragsqueryparamvalues,False,0.03108808,0.125,0.0,0.0,0.0,0.04761905,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,3.0,0.003,9,0,0,0,0,0,0,2,2,0
